species;zone;protection;site;size;fid;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;60;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;190;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;120;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;38;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;60;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;158;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;170;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;30;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;116;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;93;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;114;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;147;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;132;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;54;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;90;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;140;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;130;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;150;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;80;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;130;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;130;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;140;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;120;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;110;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;140;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;180;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;160;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;130;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;120;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;90;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;130;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;100;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;120;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;112;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;137;;;;;;;
A.punctatus;South;ECIM;Reserva M;Big;140;;;;;;;
